,carat,cut,color,clarity,depth,table,price,x,y,z
59,2.57,Premium,J,SI1,63.0,58.0,18485,8.77,8.65,5.49
60,2.56,Good,J,SI2,63.6,62.0,15231,8.62,8.57,5.47
61,2.56,Ideal,J,SI1,61.4,58.0,17753,8.73,8.76,5.37
62,2.56,Premium,J,SI1,61.4,58.0,17186,8.76,8.73,5.37
63,2.55,Premium,I,SI2,62.9,58.0,14351,8.7,8.59,5.44
64,2.55,Premium,I,VS1,61.8,62.0,18766,8.7,8.65,5.36
65,2.54,Very Good,I,SI2,63.5,58.0,15394,8.67,8.56,5.47
66,2.54,Premium,H,SI2,61.3,58.0,14717,8.8,8.7,5.36
67,2.54,Ideal,I,SI2,61.4,54.0,12687,8.83,8.78,5.41
68,2.54,Very Good,H,SI2,63.5,56.0,16353,8.68,8.65,5.5
69,2.54,Ideal,G,SI2,62.5,55.0,14421,8.75,8.69,5.45
70,2.54,Very Good,I,SI2,62.4,60.0,17996,8.58,8.73,5.4
71,2.53,Premium,H,SI1,62.1,59.0,18254,8.83,8.73,5.45
72,2.53,Fair,H,SI2,64.6,59.0,17103,8.54,8.45,5.4
73,2.53,Premium,H,SI2,61.1,57.0,15148,8.82,8.76,5.37
74,2.53,Premium,H,SI2,62.6,60.0,14659,8.66,8.55,5.39
75,2.53,Ideal,I,SI1,62.4,57.0,16709,8.68,8.59,5.39
76,2.52,Premium,H,SI2,62.4,57.0,17522,8.72,8.66,5.43
77,2.52,Very Good,G,SI2,63.2,58.0,17689,8.65,8.61,5.45
78,2.52,Premium,I,SI1,58.5,59.0,18252,8.9,8.87,5.2
79,2.52,Fair,G,I1,66.9,57.0,10076,8.39,8.33,5.6
80,2.52,Fair,J,SI2,65.1,56.0,15776,8.51,8.43,5.51
81,2.52,Ideal,I,SI1,61.5,56.0,17231,8.76,8.69,5.37
82,2.52,Good,G,SI2,63.7,59.0,17608,8.57,8.52,5.44
83,2.51,Very Good,I,SI2,62.3,57.0,18090,8.69,8.76,5.44
84,2.51,Very Good,E,SI2,63.1,56.0,16717,8.65,8.6,5.44
85,2.51,Ideal,H,SI2,62.0,57.0,17162,8.72,8.67,5.39
86,2.51,Premium,J,SI1,59.6,60.0,17452,8.84,8.79,5.25
87,2.51,Premium,J,VS2,62.2,58.0,18020,8.73,8.67,5.41
88,2.51,Premium,H,SI2,60.6,61.0,14543,8.88,8.68,5.29
89,2.51,Ideal,I,SI2,58.4,62.0,18037,8.87,8.79,5.15
90,2.51,Premium,H,SI2,59.3,61.0,14543,8.81,8.77,5.21
91,2.51,Ideal,H,SI1,62.9,56.0,15324,8.65,8.61,5.43
92,2.51,Good,G,SI2,59.5,65.0,14251,8.87,8.74,5.24
93,2.51,Good,I,SI2,63.7,61.0,14209,8.51,8.48,5.41
94,2.51,Very Good,H,SI2,63.6,58.0,18029,8.51,8.59,5.44
95,2.51,Very Good,J,SI1,63.8,55.0,16842,8.51,8.6,5.46
96,2.51,Premium,J,SI2,59.3,58.0,16278,8.83,8.87,5.25
97,2.5,Ideal,I,VS2,61.9,57.0,16955,8.7,8.68,5.38
98,2.5,Ideal,J,SI2,63.8,53.0,15246,8.56,8.5,5.45
99,2.5,Premium,I,SI2,59.0,60.0,18447,8.76,8.89,5.21
100,2.5,Ideal,J,SI2,60.7,55.0,15990,8.8,8.66,5.3
101,2.5,Fair,J,SI2,66.9,58.0,14652,8.36,8.22,5.55
102,2.5,Very Good,J,SI1,62.8,57.0,17028,8.58,8.65,5.41
103,2.5,Fair,G,I1,64.7,57.0,7854,8.48,8.44,5.47
104,2.5,Good,J,VS2,62.0,58.0,18325,8.63,8.6,5.34
105,2.5,Premium,H,I1,59.9,60.0,8467,8.75,8.67,5.22
106,2.5,Ideal,J,SI2,64.0,55.0,14502,8.56,8.48,5.46
107,2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
108,2.5,Fair,F,SI2,65.8,58.0,17405,8.38,8.31,5.49
109,2.5,Fair,H,SI2,64.9,58.0,13278,8.46,8.43,5.48
110,2.5,Fair,G,SI2,67.0,57.0,14194,8.36,8.29,5.58
111,2.5,Fair,G,I1,65.1,59.0,8711,8.55,8.39,5.53
112,2.49,Fair,J,I1,66.3,58.0,6289,8.26,8.18,5.45
113,2.49,Premium,I,SI2,61.2,56.0,18325,8.76,8.7,5.34
114,2.49,Ideal,J,SI1,63.8,54.0,16915,8.56,8.49,5.45
115,2.48,Very Good,F,SI2,63.4,56.0,18692,8.64,8.55,5.45
116,2.48,Fair,I,SI2,56.7,66.0,15030,8.88,8.64,4.99
117,2.48,Very Good,I,SI2,63.0,62.0,17448,8.58,8.62,5.42
118,2.48,Very Good,H,SI1,63.3,56.0,17893,8.6,8.55,5.43
119,2.48,Premium,I,SI1,61.0,60.0,16715,8.68,8.61,5.27
120,2.48,Very Good,H,SI2,63.3,56.0,15746,8.6,8.55,5.43
121,2.48,Premium,I,SI2,63.0,62.0,17607,8.62,8.58,5.42
122,2.48,Ideal,I,SI2,62.3,57.0,12883,8.64,8.58,5.36
123,2.47,Premium,J,SI2,59.4,59.0,16532,8.85,8.79,5.24
124,2.47,Premium,I,SI2,62.5,56.0,14970,8.65,8.6,5.39
125,2.47,Ideal,J,SI2,62.1,57.0,15430,8.64,8.57,5.34
126,2.46,Ideal,G,SI2,63.0,56.0,15745,8.6,8.52,5.44
127,2.46,Ideal,J,SI2,62.3,57.0,16466,8.66,8.57,5.37
128,2.45,Ideal,J,VS2,60.4,56.0,18113,8.72,8.81,5.3
129,2.45,Ideal,F,SI2,62.0,55.0,16589,8.67,8.64,5.36
130,2.44,Very Good,J,VS2,60.1,59.0,16533,8.75,8.83,5.28
131,2.44,Premium,I,SI2,61.4,56.0,13027,8.74,8.7,5.35
132,2.44,Very Good,J,SI1,62.9,53.0,17472,8.58,8.62,5.41
133,2.44,Very Good,J,VS2,58.1,60.0,18430,8.89,8.93,5.18
134,2.43,Premium,I,SI2,62.2,60.0,14727,8.59,8.53,5.33
135,2.43,Ideal,I,SI2,62.3,59.0,17856,8.54,8.61,5.34
136,2.43,Premium,G,I1,61.7,60.0,9716,8.54,8.49,5.25
137,2.43,Premium,J,VS2,62.2,57.0,18692,8.63,8.54,5.34
138,2.43,Fair,G,SI2,64.5,57.0,14975,8.41,8.36,5.41
139,2.43,Very Good,H,SI2,63.2,57.0,16170,8.56,8.5,5.39
140,2.42,Premium,J,VS2,61.3,59.0,18615,8.61,8.58,5.27
141,2.42,Premium,J,SI2,62.4,58.0,16198,8.58,8.53,5.34
142,2.42,Premium,J,SI2,58.5,59.0,16198,8.85,8.82,5.17
143,2.42,Premium,J,SI2,62.3,58.0,16198,8.63,8.55,5.35
144,2.42,Premium,J,VS2,61.3,59.0,17168,8.61,8.58,5.27
145,2.42,Premium,J,VS2,61.3,59.0,17168,8.61,8.58,5.27
146,2.41,Premium,J,VS1,61.1,60.0,15320,8.66,8.6,5.27
147,2.41,Premium,I,SI2,60.7,59.0,13563,8.7,8.64,5.26
148,2.41,Premium,H,SI2,58.7,61.0,15248,8.85,8.76,5.17
149,2.41,Good,I,SI2,57.7,61.0,17923,8.87,8.83,5.11
150,2.41,Ideal,I,SI2,62.5,57.0,16987,8.57,8.51,5.34
151,2.4,Good,I,SI1,56.9,62.0,18541,8.87,8.81,5.03
152,2.4,Premium,F,SI2,62.6,59.0,16797,8.53,8.49,5.33
153,2.4,Ideal,H,SI2,62.0,55.0,18374,8.57,8.6,5.32
154,2.4,Ideal,I,SI2,63.8,58.0,17039,8.41,8.37,5.35
155,2.4,Very Good,I,SI2,60.6,58.5,17955,8.59,8.67,5.24
156,2.4,Ideal,J,SI1,62.0,57.0,12468,8.53,8.47,5.27
157,2.4,Premium,J,SI1,59.7,58.0,16304,8.75,8.71,5.21
158,2.4,Fair,J,SI2,65.4,56.0,15824,8.35,8.29,5.44
159,2.4,Ideal,J,SI1,62.7,57.0,16687,8.6,8.5,5.36
160,2.39,Premium,I,VS1,61.2,60.0,17642,8.63,8.6,5.27
161,2.39,Very Good,J,VS2,62.2,60.0,16791,8.49,8.51,5.29
162,2.39,Premium,H,SI1,60.6,58.0,16687,8.65,8.58,5.22
163,2.39,Ideal,J,VS1,62.1,57.0,17365,8.53,8.57,5.31
164,2.38,Premium,J,VS2,62.6,59.0,16273,8.52,8.49,5.32
165,2.38,Premium,G,SI2,62.4,58.0,14648,8.59,8.47,5.32
166,2.38,Premium,J,VS2,62.1,58.0,18559,8.54,8.49,5.29
167,2.38,Premium,H,VS1,60.9,59.0,18522,8.62,8.59,5.24
168,2.38,Premium,J,SI2,60.6,59.0,10716,8.66,8.63,5.24
169,2.38,Very Good,J,VS2,62.6,59.0,16126,8.49,8.52,5.32
170,2.38,Premium,J,SI1,62.4,58.0,12364,8.54,8.46,5.31
171,2.37,Ideal,J,VS2,62.2,57.0,16789,8.58,8.52,5.32
172,2.37,Ideal,H,SI2,62.1,55.0,16937,8.52,8.54,5.3
173,2.37,Ideal,J,VS2,62.2,57.0,16059,8.52,8.58,5.32
174,2.36,Ideal,J,VS1,61.6,57.0,17829,8.6,8.55,5.28
175,2.36,Good,J,SI2,58.9,64.0,12286,8.75,8.68,5.14
176,2.36,Premium,H,SI2,59.4,58.0,18745,8.69,8.75,5.18
177,2.36,Ideal,H,SI2,61.8,56.0,14146,8.57,8.53,5.28
178,2.36,Ideal,H,SI2,62.2,55.0,17569,8.51,8.56,5.3
179,2.35,Premium,I,SI2,59.9,58.0,17294,8.68,8.61,5.18
180,2.35,Premium,J,VS1,60.7,60.0,14399,8.64,8.6,5.23
181,2.35,Premium,I,SI1,61.8,58.0,14185,8.58,8.44,5.26
182,2.35,Premium,H,SI1,62.6,60.0,17999,8.42,8.38,5.26
183,2.35,Premium,H,SI2,62.3,58.0,16340,8.51,8.44,5.28
184,2.35,Premium,I,SI2,61.1,58.0,17294,8.63,8.56,5.25
185,2.35,Very Good,I,SI2,58.5,57.0,15122,8.72,8.77,5.12
186,2.34,Ideal,H,I1,62.4,55.0,11221,8.51,8.44,5.29
187,2.34,Premium,I,I1,61.5,60.0,8491,8.47,8.43,5.2
188,2.33,Premium,J,SI1,59.9,59.0,14711,8.7,8.65,5.2
189,2.33,Very Good,H,SI2,63.2,56.0,13500,8.44,8.35,5.31
190,2.33,Very Good,I,SI1,60.7,56.0,18119,8.55,8.61,5.21
191,2.33,Ideal,I,VS2,62.0,57.0,17504,8.52,8.45,5.26
192,2.33,Very Good,J,VS2,61.8,59.0,14801,8.41,8.56,5.24
193,2.33,Ideal,I,VS2,62.4,57.0,15073,8.52,8.47,5.31
194,2.33,Premium,H,I1,60.7,58.0,8220,8.64,8.56,5.22
195,2.33,Good,G,SI2,63.9,60.0,13242,8.37,8.3,5.32
196,2.33,Premium,J,SI1,61.1,58.0,11638,8.6,8.56,5.24
197,2.32,Premium,I,SI1,61.2,58.0,18026,8.57,8.52,5.23
198,2.32,Ideal,I,SI2,62.0,57.0,17516,8.45,8.49,5.25
199,2.32,Ideal,H,SI1,62.6,57.0,18080,8.46,8.52,5.32
200,2.32,Ideal,I,SI2,62.0,57.0,17676,8.49,8.45,5.25
201,2.32,Fair,H,I1,70.5,55.0,6860,7.93,7.9,5.58
202,2.32,Ideal,J,VS1,62.5,54.5,17891,8.44,8.47,5.28
203,2.32,Ideal,G,SI2,61.0,58.0,18532,8.5,8.54,5.2
204,2.32,Very Good,H,SI2,60.6,58.0,18508,8.56,8.6,5.2
205,2.32,Premium,J,SI2,62.5,58.0,14666,8.47,8.43,5.28
206,2.32,Premium,I,SI2,62.1,58.0,10913,8.47,8.43,5.25
207,2.32,Premium,J,VS2,62.4,57.0,17053,8.48,8.4,5.27
208,2.32,Premium,F,SI2,62.5,59.0,16237,8.51,8.44,5.3
209,2.31,Fair,G,I1,67.4,56.0,7257,8.05,7.99,5.41
210,2.31,Premium,I,SI2,58.8,58.0,17000,8.7,8.64,5.1
211,2.31,Premium,J,SI1,61.1,60.0,15323,8.58,8.51,5.22
212,2.31,Premium,J,VS1,62.3,61.0,17451,8.55,8.43,5.29
213,2.31,Very Good,I,SI2,62.9,58.0,17062,8.34,8.43,5.27
214,2.31,Premium,H,SI2,62.1,58.0,12269,8.55,8.47,5.29
215,2.31,Premium,H,SI2,59.2,61.0,13831,8.65,8.57,5.1
216,2.31,Premium,I,SI2,62.9,58.0,17218,8.43,8.34,5.27
217,2.31,Very Good,I,SI1,62.5,55.0,17715,8.39,8.44,5.26
218,2.31,Very Good,J,VS2,59.7,60.0,14830,8.53,8.59,5.11
219,2.31,Very Good,I,SI1,62.5,55.0,16801,8.43,8.5,5.29
220,2.3,Premium,H,SI2,62.7,56.0,15992,8.46,8.42,5.29
221,2.3,Premium,H,SI2,60.6,59.0,14042,8.4,8.37,5.08
222,2.3,Ideal,H,SI2,61.6,56.0,18304,8.48,8.52,5.24
223,2.3,Very Good,I,SI2,60.6,60.0,14603,8.51,8.56,5.17
224,2.3,Ideal,J,VS2,62.4,56.0,16062,8.44,8.49,5.28
225,2.3,Premium,J,SI2,59.7,58.0,13560,8.63,8.68,5.17
226,2.3,Premium,I,VS2,61.8,60.0,18239,8.47,8.39,5.21
227,2.3,Premium,H,SI2,60.6,59.0,14042,8.4,8.37,5.08
228,2.3,Ideal,G,SI2,61.6,57.0,15433,8.47,8.41,5.2
229,2.3,Ideal,G,SI2,61.4,57.0,14744,8.51,8.48,5.22
230,2.3,Ideal,I,SI2,61.8,57.0,16329,8.48,8.45,5.23
231,2.3,Premium,I,SI2,61.3,58.0,11051,8.53,8.46,5.21
232,2.3,Ideal,I,SI1,62.2,60.0,17193,8.43,8.39,5.23
233,2.29,Ideal,J,SI2,62.3,57.0,13200,8.39,8.43,5.24
234,2.29,Fair,J,VS2,57.0,66.0,13701,8.8,8.6,4.98
235,2.29,Premium,G,SI2,60.1,58.0,13711,8.63,8.58,5.17
236,2.29,Very Good,H,SI2,63.4,57.0,11502,8.4,8.33,5.3
237,2.29,Premium,I,VS2,60.8,60.0,18823,8.5,8.47,5.16
238,2.29,Premium,H,SI2,62.5,58.0,17666,8.43,8.37,5.25
239,2.29,Premium,I,SI1,61.8,59.0,18797,8.52,8.45,5.24
240,2.29,Fair,J,SI1,56.8,66.0,12811,8.79,8.69,4.96
241,2.29,Premium,G,SI2,62.5,59.0,14108,8.38,8.33,5.22
242,2.29,Premium,J,IF,61.4,60.0,18594,8.49,8.45,5.2
243,2.29,Ideal,J,SI2,62.8,56.0,14500,8.36,8.39,5.25
244,2.29,Very Good,I,SI1,61.8,59.0,18068,8.44,8.51,5.24
245,2.29,Premium,G,SI2,62.4,60.0,15366,8.41,8.36,5.23
246,2.28,Ideal,J,VS2,62.7,57.0,16450,8.43,8.36,5.26
247,2.28,Good,J,SI1,63.7,55.0,14350,8.35,8.28,5.3
248,2.28,Very Good,H,SI2,63.3,54.0,12907,8.36,8.29,5.27
249,2.28,Premium,H,SI2,62.1,59.0,18055,8.44,8.4,5.23
250,2.28,Ideal,J,SI1,61.6,57.0,12755,8.5,8.43,5.21
251,2.28,Premium,J,VS1,60.3,58.0,16174,8.58,8.53,5.16
252,2.28,Ideal,J,VS1,62.6,54.2,16592,8.37,8.41,5.25
253,2.28,Premium,H,SI2,62.1,59.0,17892,8.4,8.44,5.23
254,2.27,Premium,J,VS1,62.4,58.0,16994,8.36,8.41,5.23
255,2.27,Fair,J,I1,67.6,55.0,5733,8.05,8.0,5.43
256,2.27,Ideal,I,SI2,60.5,55.0,12939,8.63,8.53,5.19
257,2.27,Ideal,I,SI2,63.0,54.0,15710,8.36,8.39,5.28
258,2.27,Ideal,G,SI1,61.1,60.0,18343,8.46,8.42,5.16
259,2.27,Good,J,VS1,59.3,61.0,17051,8.47,8.55,5.05
260,2.27,Premium,I,SI2,62.5,59.0,14937,8.45,8.39,5.26
261,2.27,Good,H,SI2,63.6,58.0,14249,8.37,8.29,5.3
262,2.27,Fair,G,I1,68.6,56.0,7131,7.99,7.94,5.47
263,2.27,Premium,I,SI1,61.0,58.0,14362,8.42,8.4,5.19
264,2.26,Premium,H,SI2,61.3,60.0,15428,8.5,8.43,5.19
265,2.26,Very Good,H,SI2,63.3,59.0,13923,8.35,8.26,5.25
266,2.26,Good,I,SI2,56.9,60.0,16241,8.73,8.66,4.95
267,2.26,Premium,H,SI2,61.9,58.0,11226,8.37,8.33,5.17
268,2.26,Ideal,I,SI1,62.4,57.0,16904,8.43,8.37,5.24
269,2.26,Ideal,G,SI2,61.9,57.0,12831,8.44,8.36,5.2
270,2.26,Ideal,J,VS2,61.1,57.0,17010,8.44,8.47,5.17
271,2.26,Premium,I,SI2,62.0,58.0,16241,8.4,8.37,5.2
272,2.26,Premium,H,SI2,61.1,57.0,13885,8.45,8.4,5.15
273,2.26,Very Good,H,SI2,63.1,58.0,13797,8.3,8.22,5.21
274,2.26,Ideal,H,SI2,62.2,56.0,17312,8.38,8.35,5.2
275,2.25,Ideal,I,SI2,62.4,57.0,17143,8.39,8.32,5.21
276,2.25,Premium,H,SI1,61.5,61.0,17233,8.47,8.41,5.19
277,2.25,Fair,H,I1,67.7,58.0,6653,8.01,7.97,5.41
278,2.25,Premium,H,SI2,62.8,59.0,18034,0.0,0.0,0.0
279,2.25,Very Good,J,SI2,58.4,63.0,13597,8.6,8.65,5.04
280,2.25,Good,J,SI1,62.4,61.0,15287,8.29,8.35,5.19
281,2.25,Ideal,E,I1,61.4,54.0,9072,8.52,8.46,5.21
282,2.25,Premium,J,SI1,61.8,61.0,16004,8.46,8.39,5.21
283,2.25,Ideal,I,SI2,60.5,56.0,16575,8.49,8.54,5.15
284,2.25,Very Good,H,SI2,61.2,63.0,14775,8.49,8.38,5.16
285,2.25,Premium,I,SI1,61.3,58.0,15397,8.52,8.42,0.0
286,2.25,Fair,G,I1,64.9,58.0,7069,8.15,8.12,5.28
287,2.25,Premium,I,SI2,61.9,59.0,11114,8.42,8.35,5.19
288,2.25,Premium,D,SI2,60.4,59.0,18007,8.54,8.48,5.13
289,2.25,Premium,I,SI1,60.1,60.0,18034,8.55,8.51,5.13
290,2.24,Ideal,I,SI2,62.1,57.0,15852,8.31,8.4,5.19
291,2.24,Premium,I,SI2,61.9,58.0,15515,8.36,8.29,5.15
292,2.24,Premium,J,VS1,60.9,58.0,11970,8.46,8.41,5.14
293,2.24,Ideal,F,SI2,60.3,59.0,17989,8.47,8.5,5.12
294,2.24,Very Good,H,SI2,62.3,57.0,16077,8.3,8.36,5.19
295,2.24,Premium,J,SI2,62.2,59.0,13827,8.37,8.33,5.19
296,2.24,Premium,I,SI2,62.5,59.0,16097,8.36,8.28,5.2
297,2.24,Ideal,I,SI1,60.5,59.0,18299,8.45,8.5,5.13
298,2.24,Premium,H,SI2,61.4,57.0,16656,8.43,8.35,5.15
299,2.24,Ideal,I,SI2,62.1,53.6,15730,8.38,8.41,5.21
300,2.24,Ideal,J,VS2,61.8,54.0,15316,8.41,8.36,5.18
301,2.24,Very Good,I,SI2,61.7,57.7,16558,8.37,8.43,5.18
302,2.24,Ideal,I,SI2,61.7,58.0,16709,8.43,8.37,5.18
303,2.24,Premium,I,SI2,61.9,58.0,15375,8.29,8.36,5.15
304,2.23,Very Good,J,SI2,60.5,61.0,12655,8.4,8.47,5.1
305,2.23,Premium,J,VS1,61.7,58.0,16025,8.41,8.34,5.17
306,2.23,Premium,H,SI2,59.4,59.0,12921,8.6,8.54,5.09
307,2.23,Premium,G,SI2,61.4,58.0,16805,8.41,8.32,5.14
308,2.23,Premium,I,VS2,61.2,58.0,18149,8.43,8.36,5.14
309,2.23,Premium,J,SI2,60.5,61.0,12770,8.47,8.4,5.1
310,2.23,Premium,J,SI1,62.4,59.0,14129,8.33,8.36,5.21
311,2.23,Premium,J,VS2,61.0,58.0,14867,8.39,8.36,5.11
312,2.23,Premium,J,SI1,62.4,59.0,14258,8.36,8.33,5.21
313,2.23,Premium,J,SI1,62.1,59.0,13069,8.29,8.33,5.16
314,2.23,Very Good,J,VS2,61.0,58.0,14732,8.36,8.39,5.11
315,2.22,Premium,J,SI2,61.8,58.0,13703,8.42,8.31,5.17
316,2.22,Very Good,J,SI2,61.2,63.0,10662,8.33,8.23,5.07
317,2.22,Ideal,I,VS2,61.3,56.0,18363,8.36,8.45,5.15
318,2.22,Premium,I,SI2,62.9,59.0,15184,8.24,8.2,5.17
319,2.22,Premium,I,SI1,59.9,59.0,18432,8.46,8.41,5.05
320,2.22,Very Good,J,SI1,58.7,60.0,13782,8.51,8.57,5.01
321,2.22,Ideal,J,SI2,62.8,57.0,13703,8.33,8.29,5.22
322,2.22,Ideal,I,SI2,62.7,61.0,14416,8.31,8.23,5.19
323,2.22,Good,I,SI2,62.7,61.2,14285,8.23,8.31,5.19
324,2.22,Good,I,SI1,57.8,58.0,17151,8.58,8.54,4.95
325,2.22,Fair,H,I1,70.1,55.0,6564,7.77,7.74,5.44
326,2.22,Ideal,G,SI2,62.6,57.0,14637,8.35,8.29,5.21
327,2.22,Premium,I,SI1,62.7,58.0,14095,8.33,8.28,5.21
328,2.22,Fair,J,I1,66.7,56.0,5607,8.04,8.02,5.36
329,2.22,Premium,F,SI2,59.2,59.0,13553,8.54,8.46,5.03
330,2.22,Very Good,I,SI1,62.4,55.0,17160,8.29,8.35,5.19
331,2.22,Fair,G,SI2,64.4,58.0,12508,8.32,8.15,5.3
332,2.22,Premium,I,VS2,60.5,59.0,14662,8.41,8.37,5.08
333,2.22,Very Good,J,SI2,62.8,57.0,13579,8.29,8.33,5.22
334,2.22,Very Good,I,SI2,62.9,59.0,15047,8.2,8.24,5.17
335,2.21,Premium,G,SI2,62.4,60.0,17525,8.34,8.29,5.19
336,2.21,Very Good,G,SI2,60.7,62.0,15825,8.42,8.48,5.13
337,2.21,Very Good,I,SI1,62.9,59.0,17784,8.3,8.34,5.23
338,2.21,Premium,G,SI2,60.7,62.0,15970,8.48,8.42,5.13
339,2.21,Ideal,G,SI2,60.2,60.0,18128,8.38,8.47,5.07
340,2.21,Premium,J,SI2,60.6,62.0,12327,8.45,8.37,5.1
341,2.21,Very Good,F,SI2,61.0,58.0,18483,8.36,8.43,5.12
342,2.21,Very Good,J,SI2,60.6,62.0,12215,8.37,8.45,5.1
343,2.21,Premium,H,SI2,61.3,60.0,14299,8.35,8.33,5.11
344,2.21,Premium,J,SI2,62.7,57.0,13642,8.33,8.25,5.2
345,2.21,Premium,F,SI2,59.6,60.0,16657,8.53,8.49,5.07
346,2.21,Premium,H,SI2,61.3,60.0,14032,8.35,8.33,5.11
347,2.21,Ideal,G,SI2,60.1,60.0,15948,8.47,8.53,5.11
348,2.21,Premium,H,SI2,62.9,60.0,13369,8.27,8.23,5.19
349,2.21,Premium,I,SI1,61.1,59.0,17714,8.42,8.37,5.13
350,2.21,Ideal,H,SI2,61.9,56.0,13615,8.4,8.36,5.19
351,2.2,Premium,G,SI1,60.5,55.0,18193,8.49,8.42,5.11
352,2.2,Ideal,I,SI1,61.7,55.0,18059,8.41,8.37,5.18
353,2.2,Premium,J,VS1,61.7,59.0,15201,8.34,8.3,5.13
354,2.2,Premium,H,SI2,62.7,58.0,17634,8.33,8.27,5.2
