,Fair,Premium,Ideal,Good,Very Good
128,,2.01,0.72,0.9,2.05
129,,0.9,1.52,1.39,0.78
130,,0.43,0.32,0.7,0.92
131,,0.9,0.72,1.0,0.91
132,,0.7,1.09,0.35,0.4
133,,0.38,1.0,0.83,0.83
134,,1.47,1.56,1.0,0.7
135,,0.6,1.01,0.74,0.53
136,,0.9,0.72,1.01,1.13
137,,0.41,0.58,0.91,1.02
138,,0.91,1.01,1.01,0.51
139,,1.3,0.37,2.01,1.08
140,,1.0,0.83,0.7,0.78
141,,1.01,0.51,1.04,0.96
142,,1.7,1.0,1.1,0.34
143,,0.71,0.72,1.0,1.0
144,,1.14,1.02,1.51,1.01
145,,0.92,0.71,0.99,0.44
146,,1.01,0.71,0.95,2.48
147,,1.7,2.06,1.02,0.3
148,,0.7,0.5,2.01,0.52
149,,0.72,1.02,0.3,0.77
150,,1.03,1.06,1.0,0.9
151,,0.77,0.53,0.9,0.9
152,,0.91,0.76,1.03,1.01
153,,1.01,1.01,1.16,0.91
154,,2.09,0.91,0.7,0.9
155,,2.02,1.52,2.02,0.46
156,,0.91,1.01,,1.03
157,,0.7,0.53,,0.7
158,,0.9,0.78,,0.7
159,,0.49,0.41,,0.9
160,,1.0,0.92,,0.46
161,,1.01,0.71,,2.14
162,,0.7,0.72,,1.02
163,,1.02,0.32,,1.02
164,,1.33,0.4,,1.23
165,,1.2,2.02,,0.87
166,,0.73,1.03,,2.06
167,,2.01,0.34,,0.7
168,,1.14,1.0,,1.0
169,,1.54,1.05,,0.9
170,,1.0,0.7,,2.11
171,,0.55,1.03,,0.74
172,,0.7,1.24,,0.51
173,,1.16,0.38,,1.0
174,,0.91,0.38,,0.8
175,,0.9,1.07,,1.01
176,,1.03,1.3,,0.99
177,,0.72,0.91,,0.7
178,,0.5,0.7,,1.02
179,,0.51,0.55,,0.71
180,,1.13,0.56,,0.54
181,,0.92,1.36,,0.43
182,,1.59,0.58,,0.34
183,,0.87,1.23,,0.9
184,,1.1,1.02,,0.5
185,,2.1,2.02,,0.72
186,,0.58,0.33,,2.01
187,,2.09,0.46,,1.02
188,,1.24,1.01,,0.3
189,,1.01,0.82,,2.09
190,,0.71,0.8,,1.0
191,,1.15,0.62,,1.5
192,,1.73,1.1,,0.3
193,,1.08,1.12,,1.01
194,,2.4,0.72,,1.52
195,,0.94,1.09,,0.53
196,,1.02,1.01,,1.7
197,,0.52,0.43,,0.76
198,,2.32,1.01,,0.71
199,,1.16,1.04,,1.08
200,,0.79,1.24,,0.3
201,,1.02,0.74,,0.43
202,,1.06,1.04,,1.5
203,,2.22,1.07,,0.91
204,,0.82,1.31,,1.01
205,,2.04,1.39,,0.78
206,,1.65,0.78,,1.02
207,,0.71,0.71,,2.01
208,,0.72,2.03,,1.2
209,,0.41,2.45,,0.7
210,,1.02,1.02,,1.0
211,,0.86,2.03,,0.9
212,,1.01,1.05,,1.01
213,,0.7,0.91,,1.64
214,,1.02,1.52,,0.41
215,,1.5,0.54,,0.94
216,,0.94,0.73,,0.74
217,,0.82,0.52,,0.81
218,,1.01,1.01,,1.06
219,,0.34,2.01,,2.01
220,,1.36,2.07,,0.94
221,,1.07,0.81,,1.0
222,,1.23,0.58,,0.84
223,,0.7,0.91,,0.58
224,,0.92,0.82,,0.71
225,,0.51,0.55,,1.01
226,,0.5,0.45,,0.92
227,,0.9,1.5,,0.81
228,,0.51,1.01,,1.08
229,,1.0,0.52,,0.32
230,,0.9,0.8,,0.76
231,,1.05,0.55,,1.01
232,,0.51,1.12,,1.01
233,,0.3,0.34,,0.51
234,,0.73,1.0,,1.19
235,,0.37,1.02,,0.9
236,,0.91,0.71,,0.31
237,,0.8,0.71,,1.13
238,,1.0,1.29,,0.71
239,,1.0,1.04,,1.03
240,,0.9,0.5,,0.71
241,,0.7,1.1,,1.02
242,,0.7,0.77,,0.42
243,,1.01,0.93,,0.92
244,,1.58,0.57,,1.01
245,,0.51,0.57,,1.03
246,,0.71,0.79,,0.59
247,,1.6,1.09,,1.21
248,,1.01,1.22,,0.75
249,,1.5,1.52,,1.0
250,,1.0,1.02,,1.0
251,,1.01,0.46,,2.05
252,,0.54,0.7,,0.71
253,,1.0,1.22,,2.09
254,,0.52,0.55,,1.0
255,,2.04,0.8,,0.9
256,,1.4,0.73,,1.01
257,,1.17,1.0,,1.04
258,,0.43,1.66,,0.9
259,,0.75,0.36,,1.2
260,,1.01,1.03,,0.71
261,,1.01,0.46,,1.09
262,,1.23,0.96,,0.79
263,,1.53,0.54,,2.01
264,,0.51,1.75,,1.0
265,,0.32,0.73,,0.9
266,,2.03,1.67,,2.09
267,,1.07,0.81,,0.78
268,,0.9,1.21,,0.91
269,,1.07,0.46,,0.75
270,,0.56,0.8,,0.7
271,,1.01,1.07,,
272,,1.7,0.91,,
273,,1.01,0.91,,
274,,0.43,0.9,,
275,,1.08,0.58,,
276,,0.54,0.9,,
277,,1.75,0.54,,
278,,0.75,0.73,,
279,,2.09,1.01,,
280,,1.0,1.27,,
281,,1.01,1.05,,
282,,1.2,0.56,,
283,,2.06,1.23,,
284,,0.93,1.28,,
285,,0.9,0.76,,
286,,0.34,1.0,,
287,,1.0,0.71,,
288,,0.78,2.03,,
289,,0.86,1.17,,
290,,1.6,0.41,,
291,,0.71,0.61,,
292,,1.03,0.9,,
293,,1.51,0.52,,
294,,2.0,1.0,,
295,,0.82,1.03,,
296,,0.91,1.02,,
297,,0.49,0.52,,
298,,0.4,1.64,,
299,,2.07,0.91,,
300,,1.3,1.28,,
301,,0.7,1.04,,
302,,2.14,1.01,,
303,,1.01,1.07,,
304,,0.62,0.53,,
305,,0.45,2.0,,
306,,1.47,0.91,,
307,,1.0,1.04,,
308,,2.01,1.13,,
309,,1.07,0.7,,
310,,1.07,0.53,,
311,,1.2,0.8,,
312,,1.05,0.42,,
313,,1.56,0.29,,
314,,1.21,1.14,,
315,,0.76,0.55,,
316,,0.9,0.8,,
317,,0.94,1.22,,
318,,0.51,0.38,,
319,,1.07,0.83,,
320,,1.12,1.0,,
321,,1.15,0.51,,
322,,0.45,1.0,,
323,,2.01,1.07,,
324,,0.7,0.44,,
325,,1.01,0.39,,
326,,1.16,1.04,,
327,,1.6,0.9,,
328,,1.33,0.71,,
329,,0.34,1.01,,
330,,0.43,0.72,,
331,,0.53,2.05,,
332,,1.31,0.9,,
333,,0.76,1.02,,
334,,0.52,0.4,,
335,,0.33,1.02,,
336,,2.02,1.09,,
337,,1.1,0.55,,
338,,0.9,0.74,,
339,,0.91,0.92,,
340,,1.7,0.97,,
341,,0.59,0.5,,
342,,1.32,1.12,,
343,,0.9,,,
344,,0.97,,,
345,,1.01,,,
346,,0.9,,,
347,,2.02,,,
348,,1.01,,,
349,,0.71,,,
350,,1.01,,,
351,,0.91,,,
352,,0.84,,,
353,,1.51,,,
354,,0.33,,,
355,,1.5,,,
356,,0.52,,,
357,,0.95,,,
358,,0.62,,,
359,,1.16,,,
360,,1.05,,,
361,,0.5,,,
362,,1.58,,,
363,,0.93,,,
364,,0.9,,,
365,,0.41,,,
366,,0.34,,,
367,,0.61,,,
368,,0.92,,,
369,,1.05,,,
370,,2.21,,,
371,,1.02,,,
372,,0.71,,,
373,,1.01,,,
374,,1.17,,,
375,,0.91,,,
376,,1.11,,,
377,,0.83,,,
378,,0.72,,,
379,,0.3,,,
380,,1.0,,,
381,,0.71,,,
382,,1.08,,,
383,,1.0,,,
384,,2.02,,,
385,,0.8,,,
386,,1.0,,,
387,,1.07,,,
